iso3,adm_level,country_name,adm1_name,pa_count_strict_2000,pa_area_strict_2000_km2,pa_area10km_strict_2000_km2,pop2000_in_pa_strict_WP,pop2000_in_pa10_strict_WP,pop2000_in_pa_strict_GHSL,pop2000_in_pa10_strict_GHSL,pa_count_strict_2020,pa_area_strict_2020_km2,pa_area10km_strict_2020_km2,pop2020_in_pa_strict_WP,pop2020_in_pa10_strict_WP,pop2020_in_pa_strict_GHSL,pop2020_in_pa10_strict_GHSL,pa_count_non_2000,pa_area_non_2000_km2,pa_area10km_non_2000_km2,pop2000_in_pa_non_WP,pop2000_in_pa10_non_WP,pop2000_in_pa_non_GHSL,pop2000_in_pa10_non_GHSL,pa_count_non_2020,pa_area_non_2020_km2,pa_area10km_non_2020_km2,pop2020_in_pa_non_WP,pop2020_in_pa10_non_WP,pop2020_in_pa_non_GHSL,pop2020_in_pa10_non_GHSL,pa_count_all_2000,pa_area_all_2000_km2,pa_area10km_all_2000_km2,pop2000_in_pa_all_WP,pop2000_in_pa10_all_WP,pop2000_in_pa_all_GHSL,pop2000_in_pa10_all_GHSL,pa_count_all_2020,pa_area_all_2020_km2,pa_area10km_all_2020_km2,pop2020_in_pa_all_WP,pop2020_in_pa10_all_WP,pop2020_in_pa_all_GHSL,pop2020_in_pa10_all_GHSL,pop2000_total_WP,pop2020_total_WP,pop2000_total_GHSL,pop2020_total_GHSL,country_area_km2,adm_area_km2
CMR,1,Cameroon,Centre,1,2476.7550267845822,4121.781860635639,2655.0,5488.0,3.0,439.0,2,3461.7311599535274,7073.830208984272,6766.0,16981.0,11.0,4058.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2476.7550267845822,4121.781860635639,2655.0,5488.0,3.0,439.0,2,3461.731159953528,7073.830208984272,6766.0,16981.0,11.0,4058.0,2210561.0,5013968.0,2557437.0,5846771.0,466985.0324910982,68678.09846049143
CMR,1,Cameroon,Far North,3,1505.751700564997,5074.39037113157,26115.0,200516.0,3587.0,294374.0,3,1505.751700564997,5074.390371131569,46845.0,360992.0,6542.0,459920.0,1,20.97478826497013,283.9616633820465,443.0,4190.0,64.0,2387.0,2,2126.924771130989,3323.957093810929,53129.0,142325.0,65867.0,187612.0,4,1526.7264888299674,5356.793510876897,26558.0,204685.0,3652.0,296462.0,5,3632.6764716959856,8396.78894130578,99974.0,503267.0,72409.0,647120.0,2311522.0,4109450.0,2633226.0,4264055.0,466985.0324910982,34527.64407434626
CMR,1,Cameroon,North,3,7393.841489862013,15530.050691335402,29410.0,87137.0,6658.0,55338.0,4,7459.951221578561,16653.164847369993,54117.0,200676.0,11359.0,154821.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,7393.841489862013,15530.050691335404,29410.0,87137.0,6658.0,55338.0,4,7459.951221578561,16653.164847369997,54117.0,200676.0,11359.0,154821.0,1179568.0,2647025.0,1388866.0,2726273.0,466985.0324910982,67182.01421208883
CMR,1,Cameroon,North-West,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1002.0744379196423,3460.6715136002913,17901.0,92860.0,4424.0,50860.0,1,2.183404695829504,595.7391489122632,52.0,5751.0,1.0,1420.0,3,28.154390446606925,1548.7607514936662,1697.0,122834.0,5.0,148873.0,1,2.183404695829504,595.7391489122632,52.0,5751.0,1.0,1420.0,4,1030.228828366249,4591.220827570884,19598.0,209131.0,4429.0,196828.0,1332506.0,1989769.0,1569613.0,2096097.0,466985.0324910982,17182.321648290963
CMR,1,Cameroon,Adamaoua,3,1373.9951062613818,5034.33720063874,5873.0,30645.0,328.0,9691.0,4,2054.7815983117603,6981.955188196659,14502.0,77014.0,516.0,25063.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,1373.995106261382,5034.337200638741,5873.0,30645.0,328.0,9691.0,4,2054.781598311761,6981.955188196659,14502.0,77014.0,516.0,25063.0,630616.0,1196953.0,745312.0,1283978.0,466985.0324910982,62181.69573880434
CMR,1,Cameroon,East,2,844.1186919790481,2340.207891501038,2063.0,5457.0,0.0,646.0,6,9196.381890039136,18890.88738891226,17685.0,58293.0,55.0,14858.0,1,16.191387914426322,1234.6331193380279,25.0,1620.0,1.0,657.0,3,5931.872742958225,11230.692874223312,10434.0,36968.0,58.0,25454.0,3,860.3100798934746,3451.3706133720425,2087.0,6771.0,1.0,662.0,9,15128.254632997363,29935.094279810153,28119.0,93367.0,114.0,39054.0,595502.0,937057.0,697792.0,995155.0,466985.0324910982,109680.94214253593
CMR,1,Cameroon,South,1,2538.0909592143535,5684.580490855121,7995.0,28596.0,11.0,23325.0,3,2552.423194739277,6555.483273230702,15621.0,77877.0,70.0,41057.0,1,0.021835549873621327,179.1641329806564,0.0,2513.0,0.0,2197.0,4,1183.4622236855046,4917.954661068631,5666.0,43961.0,5.0,20873.0,2,2538.1127947642267,5695.337259454649,7995.0,28714.0,11.0,23516.0,7,3735.885418424782,11305.030569918204,21287.0,112091.0,75.0,58254.0,469443.0,842530.0,501896.0,814210.0,466985.0324910982,47490.6749287907
CMR,1,Cameroon,South-West,2,1291.4365921551164,4284.493207362646,7295.0,34695.0,2527.0,34572.0,5,2741.3109453584366,9415.236774774485,71463.0,544912.0,4610.0,608895.0,2,679.1000769667241,2803.2516020049247,7748.0,60184.0,192.0,56033.0,4,768.5076043244638,3677.3499587388974,17715.0,177513.0,994.0,159518.0,4,1970.5366691218405,7087.744809367569,15043.0,94879.0,2719.0,90605.0,9,3509.818549682901,12472.712252261825,89178.0,706358.0,5604.0,743528.0,991049.0,1665991.0,1118499.0,1695559.0,466985.0324910982,24697.47471723388
CMR,1,Cameroon,West,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,72.62980265722656,747.5525240858686,8679.0,106423.0,651.0,50813.0,1,72.62980265722656,747.5525240858686,8717.0,126027.0,771.0,65685.0,1,72.62980265722656,747.5525240858686,8679.0,106423.0,651.0,50813.0,1,72.62980265722656,747.5525240858686,8717.0,126027.0,771.0,65685.0,1401939.0,1892476.0,1650431.0,2011620.0,466985.0324910982,14085.17697371991
CMR,1,Cameroon,Littoral,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1617.546739665487,3270.9926906897754,540237.0,2880297.0,167071.0,3600176.0,1,58.291084104492185,1002.8542704208984,1133.0,35393.0,1164.0,88470.0,1,58.291084104492185,1002.8542704208984,1674.0,42137.0,1509.0,114722.0,1,58.291084104492185,1002.8542704208984,1133.0,35393.0,1164.0,88470.0,2,1675.837823769979,3824.8593319387987,541912.0,2906648.0,168580.0,3712230.0,1735119.0,3710780.0,2077117.0,4525042.0,466985.0324910982,20435.23150449213
