first_area_nonstrict,first_area_strict,first_area_total_pa,first_area_unknown,first_count_nonstrict,first_count_strict,first_count_total,first_count_unknown,iso3,first_nat_pop_gh_00,first_nat_pop_gh_20,first_nat_pop_wp_00,first_nat_pop_wp_20,second_area_nonstrict,second_area_strict,second_area_total_pa,second_area_unknown,second_count_nonstrict,second_count_strict,second_count_total,second_count_unknown,second_nat_pop_gh_00,second_nat_pop_gh_20,second_nat_pop_wp_00,second_nat_pop_wp_20,area_total_pa_abs_change,area_total_pa_pct_change,nat_pop_gh_20_abs_change,nat_pop_gh_20_pct_change,nat_pop_wp_20_abs_change,nat_pop_wp_20_pct_change,count_total_abs_change
5964.284477635311,16987.327699652255,22951.612177287567,0,6,3,9,0,AFG,3793817.3171908264,7547176.309082471,2772148.5364532825,4160807.005315881,5210.067598104477,16587.64178085327,21797.70937895775,0,6,3,9,0,19572462.7421875,38895579.90625,20054409.484375,30111458.8984375,-1153.9027983298183,-5.027545731500711,31348403.59716753,415.365990051697,25950651.89312162,623.6927562361545,0
14576.04292162949,67751.29450286628,82327.33742449578,0,4,8,12,0,AGO,2683089.1344565386,5438810.132388358,2780885.851104754,4982201.524810933,14460.385958548635,67745.12508964539,82205.51104819402,0,4,8,12,0,16365398.9375,33354493.75,20171280.1328125,36164342.21875,-121.82637630176032,-0.1479780351374657,27915683.617611643,513.2682137839763,31182140.693939067,625.8707227849918,0
4312.351438960766,8511.342526418213,27012.055083810388,14188.361118431389,3,2,28,23,BEN,1117009.351044877,2025929.6020420028,866689.5117040571,1788793.2459020626,2428.7874755859375,8400.330810546875,24729.501531362537,13900.38324522972,3,2,28,23,6885925.125,12442913.1875,6223864.375,12839377.4375,-2282.553552447851,-8.450129193672103,10416983.585457997,514.182900282338,11050584.191597937,617.7675489838562,0
710.8031958388643,1715.622102643768,5563.028656079297,3136.603357596667,20,16,38,2,BGD,22158472.234827165,28783391.41663629,16477686.55556542,22494875.56502334,600.4562168121338,1590.1515083312988,3856.97332572937,1666.3656005859375,20,17,39,2,126278655.5,163635842,116745364,158489122,-1706.0553303499273,-30.66774298359121,134852450.5833637,468.5078579914019,135994246.43497667,604.556562412954,1
10717.768269702836,24126.69817867948,124032.9858659823,89188.5194176,8,4,31,19,COG,500515.61598757264,907181.0126392934,647194.958027745,551881.4425473368,10657.358885765076,24243.672406315804,117639.16447365284,82738.13318157196,8,4,31,19,3126836.875,5643848.820556641,4636035.38671875,3924157.87890625,-6393.821392329453,-5.154936283834997,4736667.807917347,522.1303953592231,3372276.4363589133,611.0508845511074,0
2745.7385355233127,3173.0579028183483,5937.594633718651,18.798195376992226,16,12,29,1,KGZ,1047948.8070565712,1372512.7981305905,720332.7396778108,811807.7183760931,2159.600944519043,3172.719924926758,5332.320869445801,0,16,12,29,1,4927213.09375,6468316.78125,5035247.03125,5587947.546875,-605.2737642728498,-10.193921977017375,5095803.9831194095,371.27551670629737,4776139.828498907,588.3338776395107,0
14502.458726323017,8789.87820440785,51147.68297010694,27855.346039376054,18,6,124,100,SEN,1591915.8332490365,2698789.373738755,1252243.505477125,2222898.378402655,14431.667510032654,8799.307626128197,47435.37695348263,24204.401817321777,18,7,126,101,9704965.4375,16430190.796875,9067753.203125,16104865.875,-3712.3060166243085,-7.258014050790827,13731401.423136245,508.7985582258876,13881967.496597346,624.4985210062882,2
223.95999931916597,2020.8363368384248,4044.726642636151,1799.9303064785606,2,5,36,29,SLE,730798.9398449005,1316471.7016971458,617820.1637121127,922660.2600663129,211.83197784423828,2019.891700744629,3896.417356014252,1664.6936774253843,2,5,36,29,4557793.4375,8182856.25,4492047.625,6712969.5,-148.309286621899,-3.666732012456555,6866384.548302854,521.5747926408877,5790309.239933687,627.5667751765454,0
0,0,312.21551436485333,312.21551436485333,0,0,2,2,STP,21741.098210637138,32782.65177018628,16787.06988163926,26819.51361257209,0,0,313.6310043334961,313.6310043334961,0,0,2,2,141410.95556640625,213768.3857421875,124894.5107421875,200432.3203125,1.4154899686427598,0.4533695167334401,180985.7339720012,552.0777734539344,173612.8066999279,647.3376408233744,0
0,165.5844627916813,11677.20112120344,11511.616658411758,0,1,125,124,TUN,1943046.5302992424,2388467.649322724,1301443.247170298,1602787.7373926623,0,165.24131393432617,11664.352131724358,11499.110817790031,0,1,125,124,9880402.6484375,12146088.859375,9465858.84375,11658073.078125,-12.848989479081865,-0.11003483921973986,9757621.210052276,408.53059964279424,10055285.340732338,627.3622580298618,0
5067.496330272961,19263.297289047332,35614.90246620675,11284.108846886456,12,21,700,667,UGA,3835563.369900913,7100137.370569809,3165895.46658032,5793796.192849547,3830.24454498291,19320.937866210938,31354.113319396973,8202.930908203125,12,21,700,667,24000128,44350879,22946398.5,41974556,-4260.7891468097805,-11.963500815010335,37250741.62943019,524.6481819328616,36180759.80715045,624.4741548175821,0
50.10492031968692,0.11974962055683136,452.14836145835176,401.923691518108,2,1,12,9,VUT,23470.530500835142,37927.73363141378,18529.50622473425,30360.939587907313,50.723547130823135,0.04527787491679191,446.6926569454372,395.92383193969727,3,1,13,9,182335.837890625,295684.3544921875,159565.70361328125,263039.2978515625,-5.455704512914565,-1.2066182204703402,257756.62086077372,679.5993226636824,232678.3582636552,766.3740365806412,1
0,0,2765.15935618572,2765.15935618572,0,0,1,1,YEM,3050255.7984556663,5266488.363236534,2392832.9877068223,4144884.520231485,0,0,2800.755126953125,2800.755126953125,0,0,1,1,18609210.85546875,32232378.8125,17415583.27734375,30173288.1796875,35.595770767405156,1.287295456870385,26965890.449263465,512.0279128973809,26028403.659456015,627.9645073924128,0
19800.65799829421,26802.212376863725,102135.01553416614,55532.145159008294,28,12,181,141,ZWE,2002288.9759910344,2650821.2498412956,1565829.941415834,1978361.7018572867,15989.781271338465,26797.756908416748,85544.02265489101,42756.4844751358,28,12,181,141,11825891.25,15671149.875,11347964.375,14328623.3125,-16590.99287927513,-16.244177173229215,13020328.625158705,491.18093594346396,12350261.610642713,624.2671195589908,0
